SubTask,Instruction,molecule
AtomNum,"Please generate a molecule composed of 12 carbon atoms, and 3 nitrogen atoms.",[NH3+]C1CC([NH+]2CCN(CC3CC3)CC2)C1
BondNum,"Please generate a molecule with 8 single bonds, 4 double bonds, 5 rotatable bonds, and 12 aromatic bonds.",CC(=O)c1cccc(NS(=O)(=O)c2cccc(C(=O)[O-])c2C)c1
FunctionalGroup,"The molecule is composed of 1 benzene ring group, and 1 amine group.",CC(CNC(=O)OC(C)(C)C)NOCc1ccccc1
AddComponent,Add a hydroxyl to the molecule N#CC(=NNc1ccccc1)c1nc(-c2ccc3ccccc3c2)c(N=Nc2ccccc2)s1.,N#CC(=NNc1cccc(O)c1)c1nc(-c2ccc3ccccc3c2)c(N=Nc2ccccc2)s1
SubComponent,Please substitute a nitrile in the molecule COc1cccc2c(C)cc(SCC#N)nc12 with a halo.,COc1cccc2c(C)cc(SCI)nc12
DelComponent,Remove a hydroxyl from the molecule CC1(C)C(=O)Nc2cccc(CNc3nc(Nc4ccc(C5CC[NH+](C(C)(C)O)CC5)c5c4OCO5)ncc3Cl)c21.,CC(C)[NH+]1CCC(c2ccc(Nc3ncc(Cl)c(NCc4cccc5c4C(C)(C)C(=O)N5)n3)c3c2OCO3)CC1
LogP,Modify the molecule CC1CN(CC(=O)NC2CCCC2)c2ccccc2S1 to have a higher LogP value.,CC1CN(C2CCCC2)c2ccccc2S1
MR,Please modify the molecule COC1OC(C)C(OCc2ccccc2)C(OCc2ccccc2)C1OC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1NC(=O)CCl to decrease its MR value.,COC1OC(C)C(OCc2ccccc2)C(OCc2ccccc2)C1OC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1NC(=O)CO
QED,Please optimize the molecule C=CCN1C(=O)C(=Cc2ccc(OC(C)CC)c(OC)c2)C(=O)NC1=S to have a lower QED value.,C=CCN1C(=O)C(=Cc2ccc(OC(CC)CO)c(OC)c2)C(=O)NC1=S
AtomNum,"There is a molecule composed of 11 carbon atoms, 1 oxygen atom, and 6 nitrogen atoms.",CCCOc1nc(NN)nc(N(CC)C(C)C)n1
BondNum,"There is a molecule consisting of 16 single bonds, 2 double bonds, 3 rotatable bonds, and 12 aromatic bonds.",CC(C)c1ccc(NC(=O)C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1
FunctionalGroup,"Please generate a molecule composed of 3 benzene ring groups, 5 amide groups, and 2 halo groups.",Cc1ccc(NC(=O)c2ccc(C)c(NC(=O)C[NH+]3CCC(C(=O)N4CCCC4C(=O)Nc4cc(C(=O)NC5CCCCC5)ccc4Cl)CC3)c2)cc1F
AddComponent,Please add a hydroxyl to the molecule CCN(CC)C(=O)CNc1nc(C(N)=O)ccc1N.,CCN(CCO)C(=O)CNc1nc(C(N)=O)ccc1N
SubComponent,Please substitute a hydroxyl in the molecule CCC(C(=O)[O-])[NH+]1CC(O)CCC1C with a halo.,CCC(C(=O)[O-])[NH+]1CC(Br)CCC1C
DelComponent,Modify the molecule halo by removing a CC(C)Oc1cncc(NCc2c(C(F)(F)F)cnn2C)n1.,CC(C)Oc1cncc(NCc2c(C(F)F)cnn2C)n1
