SubTask,Instruction,molecule
LogP,Modify the molecule CC1CN(CC(=O)NC2CCCC2)c2ccccc2S1 to have a higher LogP value.,CC1CN(C2CCCC2)c2ccccc2S1
MR,Please modify the molecule COC1OC(C)C(OCc2ccccc2)C(OCc2ccccc2)C1OC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1NC(=O)CCl to decrease its MR value.,COC1OC(C)C(OCc2ccccc2)C(OCc2ccccc2)C1OC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1NC(=O)CO
QED,Please optimize the molecule C=CCN1C(=O)C(=Cc2ccc(OC(C)CC)c(OC)c2)C(=O)NC1=S to have a lower QED value.,C=CCN1C(=O)C(=Cc2ccc(OC(CC)CO)c(OC)c2)C(=O)NC1=S
LogP,Modify the molecule N#Cc1cc(NCc2cc(F)ccc2Br)ccc1[N+](=O)[O-] to decrease its LogP value.,ONc1cc(NCc2cc(F)ccc2Br)ccc1[N+](=O)[O-]
MR,Modify the molecule Clc1ccc(-c2nnc(NCc3ccco3)c3ccccc23)cc1 to have a higher MR value.,CC(=O)c1ccc(-c2nnc(NCc3ccco3)c3ccccc23)cc1
QED,Modify the molecule C[NH+](CC(=O)NC(C)(C)C)CC(=O)N1CCCCC1 to have a lower QED value.,C[NH+](CC(=O)NC(C)(C)C)C1CCCC1
LogP,Please modify the molecule CC(CO)([NH2+]CC(O)COc1cnsn1)c1ccccc1 to increase its LogP value.,CC(C)(C)CC(=O)N(CC[NH3+])Cc1ccc(NC(=O)c2ccccc2)cc1
MR,Please optimize the molecule [NH3+]CCCSCCCF to have a lower MR value.,CCCSCCC[NH3+]
QED,Optimize the molecule CC(C)n1c(CNC(=O)c2ccc(Cl)cc2)n[nH]c1=S to have a lower QED value.,CC(C)n1c(CNC(=O)c2ccccc2)n[nH]c1=S
LogP,Optimize the molecule CC(C)(C)CC(=O)N(Cc1ccc(NC(=O)c2ccccc2)cc1)Cc1cccc(C[NH3+])c1 to have a lower LogP value.,COc1ccc(NC(=O)c2cc(F)on2)cc1S(=O)(=O)N1CCOCC1
MR,Modify the molecule Cc1ccc(-c2cnc3c(C)cn(CC(=O)N(C)C)c3c2)s1 to increase its MR value.,Cc1ccc(-c2cnc3c(C)cn(C(C(=O)N(C)C)c4ccccc4)c3c2)s1
QED,Please optimize the molecule COc1ccc(C2Sc3cc(Cc4cccs4)ccc3N(CC[NH+](C)C)CC2OC(C)=O)cc1 to have a lower QED value.,COc1ccc(C2Sc3cc(Cc4cccs4)ccc3N(CC(O)[NH+](C)C)CC2OC(C)=O)cc1
LogP,Please modify the molecule COc1ccc(NC(=O)c2cc(-c3ccccc3F)on2)cc1S(=O)(=O)N1CCOCC1 to decrease its LogP value.,COc1ccc(NC(=O)c2cc(F)on2)cc1S(=O)(=O)N1CCOCC1
MR,Modify the molecule CCCC1(c2ccccc2Cl)N=C(C[NH3+])OC(CC)C1=O to have a lower MR value.,CCCC1(c2ccccc2)N=C(C[NH3+])OC(CC)C1=O
QED,Modify the molecule CC[NH2+]C(Cc1sccc1Br)c1cc(C)ccc1OC to decrease its QED value.,CC(=O)c1ccsc1CC([NH2+]CC)c1cc(C)ccc1OC
LogP,Modify the molecule CSc1ccc(-c2ccc3c(c2)C(=O)N2CCN(C(=O)CCC(=O)[O-])CC2C(=O)N3)cc1 to decrease its LogP value.,CSc1ccc(-c2ccc3c(c2)C(=O)N2CCN(C(=O)CCC(=O)[O-])C(C(=O)O)C2C(=O)N3)cc1
MR,Please optimize the molecule CCCC[NH+](CC)CC(O)c1ccc(C)cc1 to have a higher MR value.,CC(=O)C(C[NH+](CC)CCCC)c1ccc(C)cc1
QED,Please modify the molecule NC(=[NH2+])c1ccc(N2CCC(c3ccccc3)C2)nc1 to increase its QED value.,NCc1ccc(N2CCC(c3ccccc3)C2)nc1
LogP,Modify the molecule CC[NH2+]C(c1ccc(C)cc1)C(C)CC to increase its LogP value.,CSCC(C)[NH2+]Cc1nc(C)c(CO)s1
MR,Optimize the molecule COC(=O)c1ccc(NC(C)Cn2ccnc2)c(F)c1F to have a higher MR value.,CC(Cn1ccnc1)Nc1ccc(C(=O)OCc2ccccc2)c(F)c1F
QED,Modify the molecule CN(Cc1ccccc1)C(=O)CCNc1ccccc1Cl to have a lower QED value.,CC(C[NH2+]CC1CCCO1)Sc1ccccc1
LogP,Modify the molecule CSCC(C)[NH2+]Cc1nc(C)c(C)s1 to have a lower LogP value.,CSCC(C)[NH2+]Cc1nc(C)c(CO)s1
MR,Please optimize the molecule O=C1CCC(C(=O)N2CCCN(C(=O)c3c[nH]c4ccccc34)CC2)=NN1 to have a lower MR value.,NC(=O)C=C1CN=C(Cl)c2cc(CCl)ccc2N1
QED,Modify the molecule CC(C[NH2+]CC1CCCO1)Sc1cccc(F)c1 to decrease its QED value.,CC(C[NH2+]CC1CCCO1)Sc1ccccc1
LogP,Optimize the molecule CCn1c(Cc2ccc(OC)cc2)nnc1SCC(=O)Nc1sc(C(=O)N(C)C)c(C)c1C(=O)OC to have a higher LogP value.,C=CCOc1cc(C(F)F)nc(N)n1
